time,xmin,xmax,ymin,ymax,class
19.28,762.9282836914062,1062.131103515625,324.3797607421875,418.99237060546875,reer mirror
19.28,1111.57080078125,1214.5789794921875,565.8578491210938,640.0961303710938,speed
19.32,1553.307861328125,1763.7081298828125,495.3066101074219,615.3530883789062,side mirror
19.32,57.281593322753906,275.76422119140625,534.3978881835938,672.8756103515625,side mirror
19.32,762.299560546875,1062.1165771484375,324.0653381347656,418.79425048828125,reer mirror
19.32,1111.2216796875,1214.04638671875,564.1873168945312,639.6619262695312,speed
19.36,1551.4031982421875,1764.2633056640625,496.7784118652344,616.0462646484375,side mirror
19.36,57.15802001953125,276.2569274902344,535.4449462890625,673.2567138671875,side mirror
19.36,762.2828979492188,1062.5560302734375,323.9491882324219,419.11724853515625,reer mirror
19.36,1110.7998046875,1216.658203125,565.6514282226562,641.4794921875,speed
19.400000000000002,1552.76953125,1764.637939453125,496.7918701171875,616.5318603515625,side mirror
19.400000000000002,759.7401733398438,1068.1497802734375,322.82794189453125,418.18817138671875,reer mirror
19.400000000000002,57.72294616699219,277.38519287109375,535.453857421875,673.42236328125,side mirror
19.400000000000002,1110.75732421875,1214.703369140625,565.2907104492188,641.4948120117188,speed
19.44,1552.9420166015625,1765.0916748046875,496.1128234863281,616.5139770507812,side mirror
19.44,760.5042114257812,1068.5721435546875,322.66204833984375,418.2964782714844,reer mirror
19.44,58.81196594238281,277.9618225097656,535.9317626953125,674.1508178710938,side mirror
19.44,1110.86376953125,1214.77685546875,565.1464233398438,641.6213989257812,speed
19.48,1551.3978271484375,1764.9661865234375,496.4498291015625,616.775634765625,side mirror
19.48,760.1083374023438,1067.9693603515625,323.32293701171875,418.5863342285156,reer mirror
19.48,58.51984405517578,277.5699768066406,535.6161499023438,674.2637939453125,side mirror
19.48,1110.356689453125,1214.8031005859375,565.7858276367188,641.73095703125,speed
19.52,1551.67529296875,1764.0531005859375,497.0108642578125,618.0964965820312,side mirror
19.52,758.94580078125,1067.33642578125,323.8911437988281,419.3094177246094,reer mirror
19.52,56.258697509765625,276.182861328125,535.7230224609375,674.654296875,side mirror
19.52,1110.32373046875,1211.14892578125,565.1766967773438,641.6433715820312,speed
19.56,1551.7071533203125,1763.6275634765625,496.6332092285156,617.5703125,side mirror
19.56,758.84033203125,1066.8670654296875,323.912109375,419.3020935058594,reer mirror
19.56,56.111366271972656,276.4604187011719,535.769775390625,676.2693481445312,side mirror
19.56,1109.8699951171875,1211.3349609375,564.5070190429688,641.0471801757812,speed
19.6,1551.3856201171875,1763.2965087890625,496.19952392578125,616.1892700195312,side mirror
19.6,758.2942504882812,1067.5118408203125,323.44317626953125,419.07513427734375,reer mirror
19.6,55.737876892089844,276.5765380859375,536.0352172851562,675.083740234375,side mirror
19.6,1110.4530029296875,1212.7181396484375,565.2809448242188,641.97998046875,speed
19.64,1552.623046875,1762.87060546875,493.53765869140625,614.7941284179688,side mirror
19.64,757.7840576171875,1067.3070068359375,323.3143615722656,418.5013732910156,reer mirror
19.64,54.86327362060547,275.80206298828125,535.8289184570312,676.2268676757812,side mirror
